longitude,latitude,score
130.325,33.675,-0.474778136955034
134.375,33.475,-0.321523401582107
129.375,33.275,-0.435497523340906
132.375,33.025,-0.200257147175889
-64.825,32.825,-0.158425700313741
131.975,32.825,-0.187142491630155
132.725,32.625,-0.303079179688866
-64.775,32.525,-0.120030411104401
-64.725,32.525,-0.128473306250863
-64.675,32.525,-0.125703770935274
-64.925,32.475,-0.138438311605534
-64.875,32.475,-0.136779796517627
-64.825,32.475,-0.14134884872683
-64.775,32.475,-0.140114485231727
-64.725,32.475,-0.140373488205236
-64.675,32.475,-0.129418894874808
-64.625,32.475,-0.124048315226178
-64.575,32.475,-0.13458351865901
-64.925,32.425,-0.159920942555719
-64.875,32.425,-0.162185683398064
-64.825,32.425,-0.166761506459104
-64.775,32.425,-0.16038823217973
-64.725,32.425,-0.161046133321886
-64.675,32.425,-0.141298086222522
-64.625,32.425,-0.127864935576064
-64.575,32.425,-0.132736664008136
-64.425,32.425,-0.133639366609988
-64.975,32.375,-0.162552700173573
-64.925,32.375,-0.184890974006156
-64.875,32.375,-0.20193671682659
-64.825,32.375,-0.216554899906988
-64.775,32.375,-0.195703575388524
-64.725,32.375,-0.18152293588373
-64.675,32.375,-0.149961836033839
-64.625,32.375,-0.133878114444512
-64.575,32.375,-0.135657469664285
-65.075,32.325,-0.13966982726421
-65.025,32.325,-0.154805184718206
-64.975,32.325,-0.179371011228974
-64.925,32.325,-0.20994709652128
-64.875,32.325,-0.217124070183505
-64.825,32.325,-0.217379256915387
-64.775,32.325,-0.187359508833537
-64.725,32.325,-0.176998991690138
-64.675,32.325,-0.151148418939068
-64.625,32.325,-0.134735350058768
-65.025,32.275,-0.160729348752935
-64.975,32.275,-0.188103680146083
-64.925,32.275,-0.210114460477757
-64.875,32.275,-0.210710929120569
-64.825,32.275,-0.20062221336672
-64.775,32.275,-0.173552356062326
-64.725,32.275,-0.159382634872893
-64.675,32.275,-0.144742454190785
-62.725,32.275,-0.115098001217473
-65.025,32.225,-0.171298967886579
-64.975,32.225,-0.184301095957493
-64.925,32.225,-0.199346004370439
-64.875,32.225,-0.207431159249254
-64.825,32.225,-0.194076289574904
-64.775,32.225,-0.171825183796798
-64.675,32.225,-0.14622601418366
-65.025,32.175,-0.157606783098846
-64.975,32.175,-0.163611813982659
-64.925,32.175,-0.165079327969302
-64.875,32.175,-0.167025321176019
131.475,31.275,-0.277530740637044
130.825,30.775,-0.247930388634418
130.875,30.775,-0.248519911307402
131.075,30.775,-0.223767708978838
130.825,30.725,-0.222859295199034
130.875,30.725,-0.223621112796568
130.975,30.725,-0.227563918754974
131.075,30.725,-0.217588593070529
130.975,30.675,-0.223618122541425
131.075,30.675,-0.212240349575567
131.075,30.625,-0.217307223019872
131.075,30.575,-0.219545195159858
130.975,30.525,-0.222223863227308
131.025,30.525,-0.221964102522631
130.875,30.475,-0.230635929455022
130.975,30.475,-0.229924134014665
130.975,30.425,-0.229222923061482
130.675,30.375,-0.220496480470185
130.975,30.375,-0.229190363983029
130.675,30.325,-0.228836126197934
130.625,30.275,-0.225091850267643
130.675,30.275,-0.225730307266357
48.975,30.175,-0.307226164337604
129.825,30.075,-0.234878652190777
129.875,30.075,-0.234182187858169
130.025,30.075,-0.246324194607677
130.075,30.075,-0.247814180090737
129.875,30.025,-0.232890003107024
129.925,30.025,-0.232233562411631
129.975,30.025,-0.241144843853554
130.025,30.025,-0.245919932717599
130.075,30.025,-0.248064158789081
129.875,29.975,-0.231101052219034
129.925,29.975,-0.231152651895845
32.475,29.925,-0.0698790592482665
32.575,29.925,-0.0645416317702285
32.475,29.875,-0.079847866406053
32.525,29.875,-0.0769846213938876
32.625,29.875,-0.0721915804185914
129.875,29.875,-0.229572457005091
32.475,29.825,-0.0927421470853239
32.525,29.825,-0.0816386262134859
32.625,29.825,-0.0774452478070124
129.825,29.825,-0.228423903467813
129.875,29.825,-0.225786304087138
129.925,29.825,-0.226881427252723
32.425,29.775,-0.128025857587649
32.625,29.775,-0.0897553562767704
32.375,29.725,-0.168986121470348
32.425,29.725,-0.151833666009834
32.675,29.725,-0.0943459702028944
129.525,29.725,-0.244032338408215
32.375,29.675,-0.187686695190556
32.675,29.675,-0.104203116471001
129.525,29.675,-0.249049410073242
129.675,29.675,-0.253009963053113
129.725,29.675,-0.253174183236498
32.375,29.625,-0.206806317813922
32.575,29.625,-0.0970472214508389
32.625,29.625,-0.0863548354156101
32.675,29.625,-0.080574997386524
129.675,29.625,-0.261397989945204
129.725,29.625,-0.260492120444359
32.375,29.575,-0.21223399241731
32.675,29.575,-0.071664887715043
32.725,29.575,-0.0624194913243134
32.375,29.525,-0.206492242459654
32.725,29.525,-0.0489597082578903
34.975,29.525,-0.0396696490629493
32.425,29.475,-0.181231759595803
32.475,29.475,-0.153200343707767
34.875,29.475,-0.0446861152493974
34.925,29.475,-0.0455061368056264
34.975,29.475,-0.0420910344235117
48.225,29.475,-0.417486006520592
48.275,29.475,-0.412418760160332
48.325,29.475,-0.411737460837625
48.375,29.475,-0.420372915817049
129.575,29.475,-0.260571145774335
129.625,29.475,-0.260039234581586
32.475,29.425,-0.138551162714792
32.525,29.425,-0.0907030762282661
32.775,29.425,-0.0203974863795091
34.875,29.425,-0.0563466709861552
34.975,29.425,-0.0456640142581202
48.275,29.425,-0.430439636121824
48.325,29.425,-0.424523839287503
48.375,29.425,-0.425621687204636
48.425,29.425,-0.42206167872372
129.575,29.425,-0.267922301350006
129.625,29.425,-0.26793732499725
32.525,29.375,-0.0740949503538544
32.575,29.375,-0.05400960425551
32.825,29.375,-0.0099317532448649
34.775,29.375,-0.0878438509713726
34.825,29.375,-0.0745426776481063
34.975,29.375,-0.0544352796655777
47.875,29.375,-0.38123850262569
47.925,29.375,-0.418981469964455
48.375,29.375,-0.41864208423983
48.425,29.375,-0.40965912563791
48.475,29.375,-0.400675325559681
32.575,29.325,-0.0497621700849467
32.625,29.325,-0.0376653696725158
32.825,29.325,-0.00813238399439436
34.775,29.325,-0.0969252604976548
34.925,29.325,-0.0696158095670846
47.875,29.325,-0.372978885402035
47.925,29.325,-0.402477180675489
50.325,29.325,-0.364180254258389
50.375,29.325,-0.360415959008112
32.575,29.275,-0.0543010638758184
32.625,29.275,-0.0361739897648311
32.825,29.275,-0.0080873848185455
32.875,29.275,-0.0088818984943542
34.775,29.275,-0.101543543288758
34.925,29.275,-0.0793607620779624
50.275,29.275,-0.375636890773338
50.325,29.275,-0.347883999575515
32.625,29.225,-0.0855837839077074
32.875,29.225,-0.0177713030596841
34.875,29.225,-0.0889348668181955
34.925,29.225,-0.0812076171132006
50.275,29.225,-0.345007591361085
50.325,29.225,-0.343296829057302
129.325,29.225,-0.275308356732351
32.625,29.175,-0.0869630381538268
32.675,29.175,-0.0774889672831921
32.975,29.175,-0.042876051542251
34.725,29.175,-0.110504656590789
34.875,29.175,-0.0953776983105643
34.925,29.175,-0.0917661447995756
48.375,29.175,-0.401522282191052
129.175,29.175,-0.276577024725213
129.225,29.175,-0.276816091964312
32.675,29.125,-0.0770557021661929
32.975,29.125,-0.0514821644934778
33.025,29.125,-0.0541585571463353
34.675,29.125,-0.127747794940629
34.875,29.125,-0.101285189376329
129.175,29.125,-0.278964429675012
129.225,29.125,-0.280882048121366
32.675,29.075,-0.0332877720209335
33.075,29.075,-0.061699518777811
34.675,29.075,-0.138544954826422
34.875,29.075,-0.0897156802806369
48.525,29.075,-0.330627114183635
32.825,29.025,-0.0369217115191399
33.075,29.025,-0.062371785439829
34.675,29.025,-0.133415001637492
34.825,29.025,-0.0879145413394084
34.875,29.025,-0.0815678650285671
48.575,29.025,-0.307537574214291
32.675,28.975,-0.0358482318155056
34.675,28.975,-0.122633573219489
34.825,28.975,-0.0846345408950868
48.275,28.975,-0.3320680258799
48.775,28.975,-0.314660759949454
50.825,28.975,-0.180142579431298
32.675,28.925,-0.0906878142468847
33.175,28.925,-0.0837581224768745
34.825,28.925,-0.075292361504704
48.275,28.925,-0.290982461791943
50.825,28.925,-0.179715563999545
32.675,28.875,-0.098194081546176
32.725,28.875,-0.0934155474075661
33.175,28.875,-0.0902730882748613
34.675,28.875,-0.105928737971221
34.725,28.875,-0.0887960137792212
34.825,28.875,-0.0663421679635822
50.825,28.875,-0.18873835949143
32.725,28.825,-0.102167362321753
32.775,28.825,-0.0959394125773089
33.175,28.825,-0.0969164461214874
34.625,28.825,-0.109821444633365
34.825,28.825,-0.0583488841560677
48.325,28.825,-0.250698236841837
48.775,28.825,-0.304165043842022
50.875,28.825,-0.185378222542901
32.775,28.775,-0.106289561573412
32.825,28.775,-0.0546614455164644
33.175,28.775,-0.099111029894882
33.225,28.775,-0.101995862320176
34.625,28.775,-0.0964076687988507
34.825,28.775,-0.0681872795738183
48.375,28.775,-0.248923560706847
32.825,28.725,-0.0624191624464809
33.225,28.725,-0.105006759617601
34.625,28.725,-0.0847090470122981
34.775,28.725,-0.0605571622717096
34.825,28.725,-0.0559461549062372
48.625,28.725,-0.281772377631571
32.825,28.675,-0.0994917578776955
33.175,28.675,-0.0824178536846601
33.225,28.675,-0.0865310249675739
